    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
       205      6.54635889e+00      6.59541292e+00      6.59541292e+00     -0.00000000e+00                          0.00000000e+00    
       206      4.51823855e+00      4.48551240e+00      4.48551240e+00     -0.00000000e+00                          0.00000000e+00    
       207      5.56750235e+00      5.50631377e+00      5.50631377e+00     -0.00000000e+00                          0.00000000e+00    
       208      5.24524548e+00      5.26115408e+00      5.26115408e+00     -0.00000000e+00                          0.00000000e+00    
       209      4.78139732e+00      4.79518880e+00      4.79518880e+00     -0.00000000e+00                          0.00000000e+00    
       210      3.44279511e+00      3.48383319e+00      3.48383319e+00     -0.00000000e+00                          0.00000000e+00    
       211      3.92421298e+00      3.99013802e+00      3.99013802e+00     -0.00000000e+00                          0.00000000e+00    
       212      4.95966442e+00      4.99756053e+00      4.99756053e+00     -0.00000000e+00                          0.00000000e+00    
       213      8.26923165e+00      8.19214810e+00      8.19214810e+00     -0.00000000e+00                          0.00000000e+00    
       214      2.85232903e+00      2.81499479e+00      2.81499479e+00     -0.00000000e+00                          0.00000000e+00    
       215      4.23198849e+00      4.24129890e+00      4.24129890e+00     -0.00000000e+00                          0.00000000e+00    
       216      3.45644922e+00      3.45664218e+00      3.45664218e+00     -0.00000000e+00                          0.00000000e+00    
       217      6.80746515e+00      6.85126706e+00      6.85126706e+00     -0.00000000e+00                          0.00000000e+00    
       218      4.02795291e+00      4.02627639e+00      4.02627639e+00     -0.00000000e+00                          0.00000000e+00    
       219      8.09434595e+00      8.09304968e+00      8.09304968e+00     -0.00000000e+00                          0.00000000e+00    
       220      4.29512109e+00      4.38949978e+00      4.38949978e+00     -0.00000000e+00                          0.00000000e+00    
       221      7.50891921e+00      7.56487050e+00      7.56487050e+00     -0.00000000e+00                          0.00000000e+00    
       222      4.96341630e+00      4.86402409e+00      4.86402409e+00     -0.00000000e+00                          0.00000000e+00    
       223      1.87638996e+00      1.85662486e+00      1.85662486e+00     -0.00000000e+00                          0.00000000e+00    
       224      4.87304138e+00      4.92914121e+00      4.92914121e+00     -0.00000000e+00                          0.00000000e+00    
       225      4.60477003e+00      4.64563182e+00      4.64563182e+00     -0.00000000e+00                          0.00000000e+00    
       226      4.63113196e+00      4.60680719e+00      4.60680719e+00     -0.00000000e+00                          0.00000000e+00    
       227      1.64499264e+00      1.62880913e+00      1.62880913e+00     -0.00000000e+00                          0.00000000e+00    
