#     index      Reference     Calculated        Error^2    
       429 4.23301052e+00 4.19347341e+00 1.56318289e-03    
       430 5.63514599e+00 5.56304521e+00 5.19852185e-03    
       431 3.67795178e+00 3.74146853e+00 4.03437760e-03    
       432 3.38664362e+00 3.41426170e+00 7.62758425e-04    
       433 6.14704663e+00 6.13058769e+00 2.70896564e-04    
       434 2.64410118e+00 2.66962762e+00 6.51599124e-04    
       435 4.14884211e+00 4.12610847e+00 5.16818115e-04    
       436 3.69990865e+00 3.70663664e+00 4.52658252e-05    
       437 3.92065236e+00 3.90236746e+00 3.34337553e-04    
       438 6.75615100e+00 6.73003507e+00 6.82041780e-04    
       439 4.21018254e+00 4.21042660e+00 5.95683461e-08    
       440 3.32268622e+00 3.30083372e+00 4.77531921e-04    
       441 2.32574592e+00 2.31807802e+00 5.87966791e-05    
       442 2.44822184e+00 2.47681454e+00 8.17542441e-04    
       443 5.64958761e+00 5.65217022e+00 6.66983058e-06    
       444 4.81998369e+00 4.78608280e+00 1.14927046e-03    
       445 4.82022083e+00 4.74916554e+00 5.04885379e-03    
       446 5.67554737e+00 5.66269872e+00 1.65087786e-04    
       447 2.75985352e+00 2.75287624e+00 4.86825054e-05    
       448 2.26080748e+00 2.24641105e+00 2.07257048e-04    
       449 2.19549215e+00 2.16058778e+00 1.21831522e-03    
